COM	NOM_COM	GENTILE
2087	Bieuxy	Bieuxyois
2089	Billy-sur-Aisne	Billysiens
2090	Billy-sur-Ourcq	Billyacois
2093	Blérancourt	Blérancourtois
2095	Bohain-en-Vermandois	Bohainois
2096	Bois-lès-Pargny	Sylvestriens
2097	Boncourt	Boncourtois
2098	Bonneil	Bonneillois
2101	Bosmont-sur-Serre	Bosmontois
2102	Bouconville-Vauclair	Bouconvillois
2103	Boué	Bouésiens
2106	Bourg-et-Comin	Bourcominois
2112	Brancourt-le-Grand	Brancourtois
2114	Brasles	Braslois
2115	Braye-en-Laonnois	Brayois
2120	Brenelle	Brenellois
2128	Bruyères-et-Montbérault	Bruyérois
2130	Bucilly	Bucillois
2131	Bucy-le-Long	Bucyquois
2133	Bucy-lès-Pierrepont	Bucyacois
2134	Buire	Buirois
2135	Buironfosse	Buironfossois
2136	Burelles	Burellois
2138	Buzancy	Buzancéens
2140	Camelin	Camelinois
2141	La Capelle	Capellois
2145	Caumont	Caumontois
2148	Celles-sur-Aisne	Cellois
2152	Cerseuil	Cerseuillois
2154	Chacrise	Chacrisois
2156	Chalandry	Chalandréens
2157	Chambry	Chambrysiens
2160	Chaourse	Chaoursiens
2165	Charmes	Charmois
2166	Chartèves	Chartévois
2168	Château-Thierry	Castelthéodoriciens
2169	Châtillon-lès-Sons	Châtillonnais
2170	Châtillon-sur-Oise	Châtillonnais
2171	Chaudardes	Chaudardais
2174	Chavignon	Chavignonnais
2178	Chermizy-Ailles	Chermizyacois
2182	Chevennes	Chevennois
2187	Chierry	Cerisiens
2193	Cierges	Ciergeois
2194	Cilly	Cillois
2199	Clastres	Clastrois
2201	Cœuvres-et-Valsery	Coeuvréens
2203	Coincy	Conciaciens
2207	Commenchon	Commenchonois
2208	Concevreux	Concevreusiens
2209	Condé-en-Brie	Condéens
2212	Condren	Condrinois
2213	Connigis	Connigeois
2215	Corbeny	Corbeniens
2218	Coucy-lès-Eppes	Coucycois
2220	Coulonges-Cohan	Coulongeois
2228	Courtemont-Varennes	Varennois
2234	Craonne	Craonnais
2237	Crécy-sur-Serre	Créçois
2242	Crouttes-sur-Marne	Crouttois
2245	Cuffies	Cufficiens
2248	Cuirieux	Cuiroliens
2249	Cuiry-Housse	Cuiry-Houssiens
2250	Cuiry-lès-Chaudardes	Cuiryens
2252	Cuissy-et-Geny	Cuissyacois
2254	Cutry	Cutryacois
2257	Dallon	Dallonois
2258	Dammard	Dammardois
2268	Domptin	Domptinois
2269	Dorengt	Dorengtois
2270	Douchy	Douchissois
2282	Eppes	Eppois
