"","topic","term","beta"
"301",4,"durable",0.050715953785644
"302",5,"durable",1.48218414655837e-05
"303",6,"durable",1.38603980706326e-05
"304",7,"durable",1.51267622678042e-05
"305",8,"durable",1.34956409079867e-05
"306",9,"durable",1.52746379910796e-05
"307",1,"défavorable",1.61061718850664e-05
"308",2,"défavorable",1.25050020008003e-05
"309",3,"défavorable",1.38278160347355e-05
"310",4,"défavorable",1.53638151425762e-05
"311",5,"défavorable",1.48218414655837e-05
"312",6,"défavorable",0.000152464378776958
"313",7,"défavorable",0.000166394384945846
"314",8,"défavorable",0.000148452049987854
"315",9,"défavorable",1.52746379910796e-05
"316",1,"démarche",1.61061718850664e-05
"317",2,"démarche",1.25050020008003e-05
"318",3,"démarche",0.00360905998506596
"319",4,"démarche",1.53638151425762e-05
"320",5,"démarche",1.48218414655837e-05
"321",6,"démarche",0.0105477629317514
"322",7,"démarche",0.000317662007623888
"323",8,"démarche",1.34956409079867e-05
"324",9,"démarche",1.52746379910796e-05
"325",1,"département",0.00404264914315166
"326",2,"département",0.00576480592236895
"327",3,"département",0.00015210597638209
"328",4,"département",1.53638151425762e-05
"329",5,"département",1.48218414655837e-05
"330",6,"département",1.38603980706326e-05
"331",7,"département",1.51267622678042e-05
"332",8,"département",1.34956409079867e-05
"333",9,"département",0.00841632553308486
"334",1,"départemental",1.61061718850664e-05
"335",2,"départemental",0.000637755102040816
"336",3,"départemental",0.00112005309881357
"337",4,"départemental",0.000783554572271386
"338",5,"départemental",1.48218414655837e-05
"339",6,"départemental",1.38603980706326e-05
"340",7,"départemental",1.51267622678042e-05
"341",8,"départemental",1.34956409079867e-05
"342",9,"départemental",1.52746379910796e-05
"343",1,"développement",1.61061718850664e-05
"344",2,"développement",1.25050020008003e-05
"345",3,"développement",0.00333250366437125
"346",4,"développement",1.53638151425762e-05
"347",5,"développement",0.00327562696389399
"348",6,"développement",0.0217746853689638
"349",7,"développement",0.0169571005022085
"350",8,"développement",1.34956409079867e-05
"351",9,"développement",1.52746379910796e-05
"352",1,"eau",1.61061718850664e-05
"353",2,"eau",1.25050020008003e-05
"354",3,"eau",1.38278160347355e-05
"355",4,"eau",1.53638151425762e-05
"356",5,"eau",0.0237297681863995
"357",6,"eau",1.38603980706326e-05
"358",7,"eau",0.00183033823440431
"359",8,"eau",0.000148452049987854
"360",9,"eau",0.00261196309647461
"361",1,"emploi",1.61061718850664e-05
"362",2,"emploi",0.00326380552220888
"363",3,"emploi",1.38278160347355e-05
"364",4,"emploi",0.000169001966568338
"365",5,"emploi",0.00016304025612142
"366",6,"emploi",1.38603980706326e-05
"367",7,"emploi",1.51267622678042e-05
"368",8,"emploi",0.000148452049987854
"369",9,"emploi",0.0110130139915684
"370",1,"engagement",1.61061718850664e-05
"371",2,"engagement",1.25050020008003e-05
"372",3,"engagement",0.000566940457424154
"373",4,"engagement",0.00139810717797443
"374",5,"engagement",0.00016304025612142
"375",6,"engagement",1.38603980706326e-05
"376",7,"engagement",1.51267622678042e-05
"377",8,"engagement",1.34956409079867e-05
"378",9,"engagement",1.52746379910796e-05
"379",1,"enjeu",0.000821414766138385
"380",2,"enjeu",0.00451430572228892
"381",3,"enjeu",1.38278160347355e-05
"382",4,"enjeu",0.0195274090462144
"383",5,"enjeu",1.48218414655837e-05
"384",6,"enjeu",1.38603980706326e-05
"385",7,"enjeu",0.0745900647425425
"386",8,"enjeu",1.34956409079867e-05
"387",9,"enjeu",1.52746379910796e-05
"388",1,"environnement",1.61061718850664e-05
"389",2,"environnement",1.25050020008003e-05
"390",3,"environnement",1.38278160347355e-05
"391",4,"environnement",0.00692908062930187
"392",5,"environnement",0.00846327147684829
"393",6,"environnement",0.000152464378776958
"394",7,"environnement",1.51267622678042e-05
"395",8,"environnement",1.34956409079867e-05
"396",9,"environnement",1.52746379910796e-05
